season,date,type,subtype,teams,n_teams,players,n_players,players_out,players_in,is_aggregation,text
2022-23,2022-09-16,signing,two_way,IND,1,brownke03,1,0,0,False,The Indiana Pacers signed Kendall Brown to a two-way contract.
2022-23,2022-09-16,signing,other_signing,ATL,1,ellisma01,1,0,0,False,The Atlanta Hawks signed Malik Ellison.
2022-23,2022-09-16,signing,other_signing,BRK,1,chiozch01,1,0,0,False,The Brooklyn Nets signed Chris Chiozza.
2022-23,2022-09-17,signing,other_signing,NYK,1,arcidry01,1,0,0,False,The New York Knicks signed Ryan Arcidiacono.
2022-23,2022-09-17,waiver,,MIL,1,antetal01,1,0,0,False,The Milwaukee Bucks waived Alex AntetoKounmpo.
2022-23,2022-09-17,waiver,,BRK,1,zegarma01,1,0,0,False,The Brooklyn Nets waived Marcus Zegarowski.
2022-23,2022-09-17,signing,other_signing,MIL,1,moliniv01,1,0,0,False,The Milwaukee Bucks signed Iverson Molinar.
2022-23,2022-09-18,signing,other_signing,MIL,1,badjiib01,1,0,0,False,The Milwaukee Bucks signed Ibou Badji.
2022-23,2022-09-18,signing,other_signing,NYK,1,mykhasv01,1,0,0,False,The New York Knicks signed Sviatoslav Mykhailiuk.
2022-23,2022-09-19,signing,other_signing,DET,1,edwarky01,1,0,0,False,The Detroit Pistons signed Kyler Edwards.
2022-23,2022-09-19,waiver,,MIL,1,moliniv01,1,0,0,False,The Milwaukee Bucks waived Iverson Molinar.
2022-23,2022-09-19,signing,other_signing,CLE,1,diakima01,1,0,0,False,The Cleveland Cavaliers signed Mamadi Diakite.
2022-23,2022-09-19,signing,other_signing,CLE,1,hintona01,1,0,0,False,The Cleveland Cavaliers signed Nate Hinton.
2022-23,2022-09-20,signing,other_signing,MIA,1,smithdr01,1,0,0,False,The Miami Heat signed Dru Smith.
2022-23,2022-09-20,signing,other_signing,PHO,1,jacksfr01,1,0,0,False,The Phoenix Suns signed Frank Jackson.
2022-23,2022-09-20,waiver,,MIL,1,badjiib01,1,0,0,False,The Milwaukee Bucks waived Ibou Badji.
2022-23,2022-09-20,waiver,,CLE,1,vaudrch01,1,0,0,False,The Cleveland Cavaliers waived Chandler Vaudrin.
2022-23,2022-09-20,waiver,,BOS,1,cabocbr01,1,0,0,False,The Boston Celtics waived Bruno Caboclo.
2022-23,2022-09-20,signing,other_signing,MIL,1,boldema01,1,0,0,False,The Milwaukee Bucks signed Marques Bolden.
2022-23,2022-09-20,signing,other_signing,DAL,1,stewadj02,1,0,0,False,The Dallas Mavericks signed D.J. Stewart Jr..
2022-23,2022-09-20,signing,other_signing,DAL,1,binghma01,1,0,0,False,The Dallas Mavericks signed Marcus Bingham Jr..
2022-23,2022-09-20,signing,other_signing,SAC,1,cookqu01,1,0,0,False,The Sacramento Kings signed Quinn Cook.
2022-23,2022-09-20,signing,other_signing,SAC,1,bazemke01,1,0,0,False,The Sacramento Kings signed Kent Bazemore.
2022-23,2022-09-20,signing,other_signing,CLE,1,coopesh01,1,0,0,False,The Cleveland Cavaliers signed Sharife Cooper.
2022-23,2022-09-21,signing,other_signing,NYK,1,rosequ01,1,0,0,False,The New York Knicks signed Quinton Rose.
2022-23,2022-09-21,signing,other_signing,BOS,1,samanlu01,1,0,0,False,The Boston Celtics signed Luka Å amaniÄ.
2022-23,2022-09-21,signing,other_signing,GSW,1,hannadu01,1,0,0,False,The Golden State Warriors signed Dusty Hannahs.
2022-23,2022-09-21,signing,other_signing,NYK,1,walkemj01,1,0,0,False,The New York Knicks signed M.J. Walker.
2022-23,2022-09-22,signing,other_signing,ATL,1,brookar01,1,0,0,False,The Atlanta Hawks signed Armoni Brooks.
2022-23,2022-09-22,waiver,,GSW,1,hannadu01,1,0,0,False,The Golden State Warriors waived Dusty Hannahs.
2022-23,2022-09-22,signing,other_signing,BRK,1,grayra01,1,0,0,False,The Brooklyn Nets signed RaiQuan Gray.
2022-23,2022-09-22,waiver,,BRK,1,grayra01,1,0,0,False,The Brooklyn Nets waived RaiQuan Gray.
2022-23,2022-09-22,trade,,DET/UTA,2,leesa01/olynyke01/bogdabo02,3,2,1,True,"The Detroit Pistons traded Saben Lee, Kelly Olynyk and cash to the Utah Jazz for Bojan Bogdanovic. Utah also received a trade exception"
2022-23,2022-09-22,signing,other_signing,NOP,1,cheatzy01,1,0,0,False,The New Orleans Pelicans signed Zylan Cheatham.
2022-23,2022-09-22,signing,other_signing,IND,1,gallola01,1,0,0,False,The Indiana Pacers signed Langston Galloway.
