season,player_id,player,age,g,gs,mp,per,ts_pct,usg_pct,ws,ws_48,obpm,dbpm,bpm,vorp
2005-06,richaja01,Jason Richardson,25.0,75.0,75.0,2877.0,19.2,0.538,27.6,7.3,0.122,3.4,-0.3,3.1,3.7
2005-06,lewisra02,Rashard Lewis,26.0,78.0,77.0,2876.0,20.0,0.585,23.1,8.3,0.138,4.2,-1.6,2.7,3.4
2005-06,diawbo01,Boris Diaw,23.0,81.0,70.0,2874.0,17.3,0.564,17.9,8.9,0.149,1.4,1.4,2.8,3.5
2005-06,battish01,Shane Battier,27.0,81.0,81.0,2839.0,14.7,0.574,13.7,9.1,0.153,0.8,1.8,2.6,3.3
2005-06,hamilri01,Richard Hamilton,27.0,80.0,80.0,2825.0,18.2,0.553,27.4,7.6,0.13,1.7,-0.9,0.8,2.0
2005-06,paulch01,Chris Paul,20.0,78.0,78.0,2808.0,22.1,0.546,22.2,10.4,0.178,3.0,2.2,5.2,5.1
2005-06,terryja01,Jason Terry,28.0,80.0,80.0,2798.0,18.4,0.575,22.2,9.6,0.165,3.6,-0.2,3.3,3.7
2005-06,nashst01,Steve Nash,31.0,79.0,79.0,2796.0,23.3,0.632,23.3,12.4,0.212,5.7,-0.7,5.0,4.9
2005-06,duncati01,Tim Duncan,29.0,80.0,80.0,2784.0,23.1,0.523,27.7,10.8,0.187,2.3,2.6,5.0,4.9
2005-06,harrial01,Al Harrington,25.0,76.0,76.0,2782.0,16.0,0.513,25.6,3.8,0.065,0.4,-1.7,-1.3,0.5
2005-06,wallara01,Rasheed Wallace,31.0,80.0,80.0,2780.0,17.6,0.527,21.1,8.9,0.154,1.8,1.9,3.7,4.0
2005-06,parkesm01,Smush Parker,24.0,82.0,82.0,2773.0,13.4,0.548,16.5,5.8,0.1,-0.8,0.8,0.1,1.5
2005-06,bowenbr01,Bruce Bowen,34.0,82.0,82.0,2755.0,9.1,0.54,11.1,6.2,0.108,-1.8,2.0,0.3,1.6
2005-06,boshch01,Chris Bosh,21.0,70.0,70.0,2751.0,23.2,0.585,25.2,9.8,0.17,3.9,-1.0,2.9,3.4
2005-06,szczewa02,Wally Szczerbiak,28.0,72.0,71.0,2729.0,17.7,0.595,22.1,8.0,0.141,2.8,-1.2,1.6,2.5
2005-06,parketo01,Tony Parker,23.0,80.0,80.0,2715.0,20.8,0.584,27.1,9.6,0.169,2.4,0.4,2.8,3.3
2005-06,butleca01,Caron Butler,25.0,75.0,54.0,2708.0,17.0,0.535,23.2,6.3,0.112,0.4,0.1,0.6,1.7
2005-06,cassesa01,Sam Cassell,36.0,78.0,75.0,2653.0,18.5,0.534,25.0,7.6,0.137,2.1,-0.5,1.6,2.4
2005-06,stevede01,DeShawn Stevenson,24.0,82.0,82.0,2648.0,10.9,0.507,18.1,2.4,0.044,-1.8,-0.8,-2.5,-0.3
2005-06,ridnolu01,Luke Ridnour,24.0,79.0,77.0,2625.0,16.0,0.506,18.1,4.4,0.081,1.1,-1.3,-0.2,1.2
2005-06,turkohe01,Hedo TÃ¼rkoÄlu,26.0,78.0,59.0,2615.0,16.7,0.578,20.6,7.6,0.14,2.1,-0.2,2.0,2.5
2005-06,denglu01,Luol Deng,20.0,78.0,56.0,2604.0,15.8,0.517,20.4,6.5,0.12,0.8,0.9,1.6,2.4
2005-06,kirilan01,Andrei Kirilenko,24.0,69.0,63.0,2604.0,20.7,0.556,20.5,7.9,0.145,3.4,3.1,6.6,5.6
2005-06,stojape01,Peja StojakoviÄ,28.0,71.0,71.0,2601.0,16.7,0.57,22.0,8.0,0.147,2.4,-0.8,1.6,2.3
2005-06,fishede01,Derek Fisher,31.0,82.0,36.0,2589.0,14.8,0.536,20.2,5.8,0.107,-0.2,0.6,0.4,1.6
2005-06,dunlemi02,Mike Dunleavy,25.0,81.0,68.0,2578.0,12.5,0.503,18.1,4.2,0.077,-0.7,0.0,-0.7,0.9
2005-06,korveky01,Kyle Korver,24.0,82.0,43.0,2563.0,12.3,0.577,16.2,4.6,0.086,0.3,-0.9,-0.6,0.9
2005-06,kamanch01,Chris Kaman,23.0,78.0,78.0,2560.0,15.0,0.57,17.9,6.1,0.114,-1.3,0.6,-0.7,0.8
2005-06,smithjo03,Josh Smith,20.0,80.0,73.0,2559.0,15.5,0.5,18.9,3.6,0.067,-0.5,0.8,0.3,1.4
2005-06,fordtj01,T.J. Ford,22.0,72.0,70.0,2557.0,13.1,0.489,20.0,2.5,0.047,-1.1,-0.1,-1.2,0.5
2005-06,crawfja01,Jamal Crawford,25.0,79.0,27.0,2555.0,15.5,0.544,21.5,4.5,0.084,1.6,-1.1,0.5,1.6
2005-06,randoza01,Zach Randolph,24.0,74.0,71.0,2545.0,16.9,0.483,28.8,1.3,0.024,0.5,-2.6,-2.0,0.0
2005-06,simmobo01,Bobby Simmons,25.0,75.0,74.0,2538.0,13.8,0.559,18.3,5.3,0.101,0.2,0.1,0.3,1.5
2005-06,howarju01,Juwan Howard,32.0,80.0,80.0,2537.0,12.5,0.499,20.2,3.7,0.069,-2.0,-0.6,-2.6,-0.4
2005-06,westda01,David West,25.0,74.0,74.0,2526.0,19.7,0.554,23.0,7.4,0.141,1.8,-0.3,1.4,2.2
2005-06,murphtr01,Troy Murphy,25.0,74.0,74.0,2516.0,15.9,0.529,19.2,6.5,0.125,0.5,-0.9,-0.3,1.1
2005-06,hassetr01,Trenton Hassell,26.0,77.0,67.0,2514.0,9.5,0.512,15.4,2.3,0.044,-2.4,-0.6,-3.1,-0.7
2005-06,hasleud01,Udonis Haslem,25.0,81.0,80.0,2491.0,13.7,0.558,14.1,7.0,0.134,-0.4,-0.1,-0.5,0.9
2005-06,gordobe01,Ben Gordon,22.0,80.0,47.0,2482.0,14.5,0.531,26.3,4.4,0.086,0.7,-0.3,0.5,1.6
2005-06,krstine01,Nenad KrstiÄ,22.0,80.0,80.0,2469.0,14.4,0.541,21.6,5.4,0.105,-1.9,-0.4,-2.2,-0.1
2005-06,magloja01,Jamaal Magloire,27.0,82.0,82.0,2465.0,11.1,0.494,17.2,2.0,0.039,-3.3,-0.8,-4.1,-1.3
2005-06,pachuza01,Zaza Pachulia,21.0,78.0,78.0,2452.0,15.0,0.53,19.2,3.9,0.077,-0.8,-1.3,-2.1,-0.1
2005-06,jonesed02,Eddie Jones,34.0,75.0,75.0,2437.0,14.7,0.542,18.1,7.2,0.141,-0.1,2.3,2.2,2.6
2005-06,alstora01,Rafer Alston,29.0,63.0,63.0,2431.0,12.6,0.475,18.8,3.4,0.067,-1.0,0.6,-0.4,1.0
2005-06,westde01,Delonte West,22.0,71.0,71.0,2418.0,15.1,0.574,16.4,5.7,0.114,1.2,0.7,1.9,2.4
2005-06,feltora01,Raymond Felton,21.0,80.0,54.0,2406.0,14.2,0.483,21.4,2.6,0.051,0.2,-0.8,-0.6,0.8
2005-06,francst01,Steve Francis,28.0,70.0,60.0,2393.0,15.2,0.534,22.6,3.6,0.073,0.7,-0.7,0.0,1.2
2005-06,brownpj01,P.J. Brown,36.0,75.0,73.0,2380.0,12.7,0.515,14.7,4.4,0.088,-1.3,-0.2,-1.5,0.3
